Movie_title,Title,Director_1,Director_2,Actor_1,Actor_2,Actor_3,writer_1,writer_2,plot_Keyword_1,Plot_keyWord_2,plot_keyword_3,Genre_1,Genre_2,Genre_3,Production_Company_1,Production_Company_2,production_company_3,Release_month,Number_of_IMDB_user_reviews,Number_of_IMDB_critic_reviews,Number_of_IMBb_ratings,IMDb_score,Popularity,total_award_nomination,Country,language_1,language_2,film_location_1
DC's Legends of Tomorrow: Their Time Is Now,DC's Legends of Tomorrow: Their Time Is Now (2016),Greg Berlanti,Casper Crump,null,Franz Drameh,Franz Drameh,null,null,superhero,female superhero,immortal,superhero,female superhero,immortal,Hodder,null,null,TV Movie 19 January 2016,11 user,null,7.3,3209,null,null,English,See more,null,null
Inside Job,Inside Job (2010),Charles Ferguson,null,Charles Ferguson,Andri Snær Magnason,Andri Snær Magnason,Charles Ferguson,Chad Beck,iceland,interview,recession,iceland,interview,1 video,Sony Pictures Classics,Representational Pictures,Screen Pass Pictures,12 November 2010 (USA),134 user,171 critic,8.3,60153,"3,430
      ( 60)","Another
      7 wins & 26 nominations.",USA,See more,null,China
Before the Flood,Before the Flood (2016),Fisher Stevens,null,Mark Monroe,Jake Awa,Jake Awa,Mark Monroe,null,environment,ecosystem,climate change,environment,ecosystem,169 news articles,RatPac Documentary Films,Appian Way,Insurgent Docs,30 October 2016 (USA),64 user,26 critic,8.3,17347,"4,489
      ( 431)",See more awards »,English,See more,null,company contact information
Kevin Hart: What Now?,Kevin Hart: What Now? (2016),Leslie Small,Tim Story,Kevin Hart,Halle Berry,Halle Berry,Kevin Hart,Joey Wells,reenactment,scene during end credits,rape joke,reenactment,scene during end credits,14 videos,Hartbeat Productions,Universal Pictures,null,14 October 2016 (USA),27 user,31 critic,5.8,5864,"4,965
      ( 329)",null,USA,English,null,"Lincoln Financial Field, 1020 Pattison Ave., Philadelphia, Pennsylvania, USA"
An Inconvenient Truth,An Inconvenient Truth (2006),Davis Guggenheim,null,Al Gore,George Bush,George Bush,Al Gore,Billy West,climate,earth,lecture,climate,earth,1019 news articles,Lawrence Bender Productions,Participant Media,null,null,510 user,373 critic,7.5,72092,"1,381
      ( 2,274)","Another
      31 wins & 11 nominations.",USA,See more,null,null
After Porn Ends 2,After Porn Ends 2 (2017),Bryce Wagoner,null,Ashley Adams,Lisa Ann,Lisa Ann,Ashley Adams,Brittany Andrews,porn,ex porn star,ex pornography actor,porn,ex porn star,ex pornography actor,WeBros Entertainment,Karbonshark,Pirates Entertainment,null,4 user,5 critic,5.4,892,null,null,USA,English,null,null
Grizzly Man,Grizzly Man (2005),Werner Herzog,null,Werner Herzog,Werner Herzog,Werner Herzog,Werner Herzog,null,man eaten by a bear,katmai national park alaska,interview,man eaten by a bear,katmai national park alaska,1 video,Lions Gate Films,Discovery Docs,Real Big Production,2 September 2005 (USA),392 user,200 critic,7.8,44331,null,See more awards »,USA,See more,null,"Alaska, USA"
Inside Job,Inside Job (2010),Charles Ferguson,null,Charles Ferguson,Andri Snær Magnason,Andri Snær Magnason,Charles Ferguson,Chad Beck,iceland,interview,recession,iceland,interview,1 video,Sony Pictures Classics,Representational Pictures,Screen Pass Pictures,12 November 2010 (USA),134 user,171 critic,8.3,60153,"3,430
      ( 60)","Another
      7 wins & 26 nominations.",USA,See more,null,China
Chasing Coral,Chasing Coral (2017),Jeff Orlowski,null,Davis Coombe,Neal Cantin,Neal Cantin,Davis Coombe,Vickie Curtis,marine biology,underwater photography,time lapse photography,marine biology,underwater photography,2 videos,Argent Pictures,Code Blue Foundation,EarthSense Foundation,null,3 user,11 critic,8.2,996,"4,011
      ( 1,727)",See more awards »,USA,English,null,company contact information
What the Health,What the Health (2017),Kip Andersen,Keegan Kuhn,Kip Andersen,Neal Barnard,Neal Barnard,Kip Andersen,Kip Andersen,vegan,veganism,animal agriculture,vegan,veganism,animal agriculture,null,null,null,null,648 user,5 critic,8.4,15362,null,null,USA,English,null,company contact information
Grizzly Man,Grizzly Man (2005),Werner Herzog,null,Werner Herzog,Werner Herzog,Werner Herzog,Werner Herzog,null,man eaten by a bear,katmai national park alaska,interview,man eaten by a bear,katmai national park alaska,1 video,Lions Gate Films,Discovery Docs,Real Big Production,2 September 2005 (USA),392 user,200 critic,7.8,44331,null,See more awards »,USA,See more,null,"Alaska, USA"
City of Ghosts,City of Ghosts (2017),Matthew Heineman,null,Abu Bakr Al-Baghdadi,Hassan,Hassan,Abu Bakr Al-Baghdadi,Hamoud,null,null,null,Documentary,War,3 videos,Our Time Projects,null,null,7 July 2017 (USA),4 user,36 critic,7.5,323,"2,662
      ( 1,217)",See more awards »,USA,English,null,"Istanbul, Turkey"
Casting JonBenet,Casting JonBenet (2017),Kitty Green,null,Kitty Green,Liv Bagley,Liv Bagley,Kitty Green,null,child,murder,christmas,child,murder,77 news articles,Forensic Films,Symbolic Exchange,Meridian Entertainment,null,21 user,22 critic,6.2,2250,null,See more awards »,English,See more,null,company contact information
I Am Not Your Negro,I Am Not Your Negro (2016),Raoul Peck,null,James Baldwin,Harry Belafonte,Harry Belafonte,James Baldwin,Raoul Peck,racism,martin luther king,assassination,racism,martin luther king,2 videos,Velvet Film,null,null,null,47 user,141 critic,7.6,7280,"3,077
      ( 316)","Another
      21 wins & 39 nominations.",English,See more,null,null
Quay,Quay (2015),Christopher Nolan,null,Stephen Quay,null,null,Stephen Quay,Timothy Quay,null,null,null,Documentary,Short,33 news articles,Syncopy,null,null,19 August 2015 (USA),1 user,5 critic,7.5,562,null,null,UK,English,null,"London, England, UK"
Monkey Business: The Adventures of Curious George's Creators,Monkey Business: The Adventures of Curious George's Creators (2017),Ema Ryan Yamazaki,null,Erin Sanger,Nick Scrimshaw,Nick Scrimshaw,Erin Sanger,null,null,null,null,Documentary,null,1 video,null,null,null,null,null,null,8.7,15,null,See more awards »,USA,Add content advisory for parents,null,company contact information
An Inconvenient Truth,An Inconvenient Truth (2006),Davis Guggenheim,null,Al Gore,George Bush,George Bush,Al Gore,Billy West,climate,earth,lecture,climate,earth,1019 news articles,Lawrence Bender Productions,Participant Media,null,null,510 user,373 critic,7.5,72092,"1,381
      ( 2,274)","Another
      31 wins & 11 nominations.",USA,See more,null,null
O.J.: Made in America,O.J.: Made in America (2016),Ezra Edelman,null,Kareem Abdul-Jabbar,Muhammad Ali,Muhammad Ali,Kareem Abdul-Jabbar,Mike Albanese,celebrity,running back,Crime,celebrity,running back,546 news articles,ESPN Films,Laylow Films,null,Crime,58 user,38 critic,9,11247,null,"Another
      43 wins & 35 nominations.",USA,English,null,company contact information
My Scientology Movie,My Scientology Movie (2015),John Dower,null,John Dower,Tom Cruise,Tom Cruise,John Dower,John Dower,scientology,brainwashing,religious cult,scientology,brainwashing,1 video,BBC Films,Red Box Films,null,null,36 user,59 critic,6.7,7579,"4,182
      ( 2,060)",See more awards »,UK,English,null,"Los Angeles, California, USA"
An Inconvenient Sequel: Truth to Power,Icarus (2017),Bryan Fogel,null,Jon Bertain,Grigory Rodchenkov,Grigory Rodchenkov,Jon Bertain,Bryan Fogel,null,null,null,Documentary,Thriller,1 video,Alex Productions,Diamond Docs,Impact Partners,4 August 2017 (USA),11 user,11 critic,8.2,1682,"471
      ( 2,560)",See more awards »,USA,See all certifications,null,null
Cowspiracy: The Sustainability Secret,Cowspiracy: The Sustainability Secret (2014),Kip Andersen,Keegan Kuhn,Kip Andersen,Lindsey Allen,Lindsey Allen,Kip Andersen,Keegan Kuhn,world,water scarcity,forest,world,water scarcity,1 news article,null,null,null,null,56 user,12 critic,8.4,13449,null,null,USA,English,null,company contact information
Cowspiracy: The Sustainability Secret,Cowspiracy: The Sustainability Secret (2014),Kip Andersen,Keegan Kuhn,Kip Andersen,Lindsey Allen,Lindsey Allen,Kip Andersen,Keegan Kuhn,world,water scarcity,forest,world,water scarcity,1 news article,null,null,null,null,56 user,12 critic,8.4,13449,null,null,USA,English,null,company contact information
"Diana, Our Mother: Her Life and Legacy","Diana, Our Mother: Her Life and Legacy (2017)",Ashley Gething,null,Victor Adebowale,Jayne Fincher,Jayne Fincher,Victor Adebowale,Graham Dillamore,null,null,null,Documentary,null,58 news articles,Independent Television (ITV),Oxford Film & Television,null,null,1 user,1 critic,7.9,136,null,null,English,Add content advisory for parents,null,company contact information
Harry Styles: Behind the Album,Harry Styles: Behind the Album (2017),Paul Dugdale,null,Harry Styles,Sarah Jones,Sarah Jones,Harry Styles,Jeff Bhasker,null,null,null,Documentary,null,null,Fulwell 73,null,null,null,null,null,8.4,129,null,null,UK,Add content advisory for parents,null,null
Dunkirk,Dunkirk (2004),Alex Holmes,null,Alex Holmes,Clive Brunt,Clive Brunt,Alex Holmes,Neil McKay,evacuation,english channel,History,evacuation,english channel,12 news articles,null,null,null,History,10 user,1 critic,7.5,352,null,See more awards »,English,See more,null,Stereo
F for Fake,F for Fake (1973),Orson Welles,null,Orson Welles,François Reichenbach,François Reichenbach,Orson Welles,null,fraud,biographer,ibiza,fraud,biographer,119 news articles,Janus Film,SACI,null,null,50 user,76 critic,7.8,11438,null,See more awards »,English,See more,null,null
Jackass: The Movie,Jackass: The Movie (2002),Jeff Tremaine,null,Jeff Tremaine,Chris Pontius,Chris Pontius,Jeff Tremaine,Spike Jonze,stunt,panda,Comedy,stunt,panda,1837 news articles,Paramount Pictures,MTV Films,Dickhouse Productions,Comedy,331 user,106 critic,6.6,71428,"4,375
      ( 235)",See more awards »,USA,See more,null,"Amsterdam, Noord-Holland, Netherlands"
