Movie_title,Title,Director_1,Director_2,Actor_1,Actor_2,Actor_3,writer_1,writer_2,plot_Keyword_1,Plot_keyWord_2,plot_keyword_3,Genre_1,Genre_2,Genre_3,Production_Company_1,Production_Company_2,production_company_3,Release_month,Number_of_IMDB_user_reviews,Number_of_IMDB_critic_reviews,Number_of_IMBb_ratings,IMDb_score,Popularity,total_award_nomination,Country,language_1,language_2,film_location_1
Hoop Dreams,Hoop Dreams (1994),Steve James,null,Steve James,Emma Gates,Emma Gates,Steve James,Frederick Marx,basketball,high school student,Sport,basketball,high school student,605 news articles,KTCA Minneapolis,Kartemquin Films,null,Sport,74 user,55 critic,8.3,20475,null,"Another
      21 wins & 7 nominations.",English,See more,null,null
Losing Sight of Shore,Losing Sight of Shore (2017),Sarah Moshman,null,Sarah Moshman,null,null,Sarah Moshman,Peter Saroufim,f rated,triple f rated,Sport,f rated,triple f rated,1 news article,null,null,null,Sport,2 user,1 critic,7.5,235,null,null,USA,English,null,company contact information
Inside Deep Throat,Inside Deep Throat (2005),Fenton Bailey,Randy Barbato,Fenton Bailey,Dennis Hopper,Dennis Hopper,Fenton Bailey,Randy Barbato,deep throat,clitoris,History,deep throat,clitoris,41 news articles,Imagine Entertainment,HBO Documentary Films,World of Wonder,History,66 user,123 critic,6.8,5814,null,See more awards »,USA,See more,null,"Hollywood, Los Angeles, California, USA"
The Endless Summer,The Endless Summer (1966),Bruce Brown,null,Bruce Brown,Lord James Blears,Lord James Blears,Bruce Brown,null,surfing,wave,surfer,surfing,wave,1 video,Bruce Brown Films,null,null,17 August 1968 (Japan),31 user,35 critic,7.8,4154,null,See more awards »,USA,See more,null,Australia
Awaken,Awaken (2018),Tom Lowe,null,Daria Hubanova,Sascha Kalis,Sascha Kalis,Daria Hubanova,Jasmijn Reijntjes,null,null,null,Documentary,Music,1 video,Dubai Film,Dreamcore,null,null,null,null,null,null,null,null,United Arab Emirates,Add content advisory for parents,null,Color
Ronaldo,Ronaldo (2015),Anthony Wonke,null,Dolores Aveiro,Georgie Bingham,Georgie Bingham,Dolores Aveiro,Hugo Aveiro,football,soccer player,Sport,football,soccer player,1 video,On The Corner Films,"We Came, We Saw, We Conquered Studios",Mediapro,Sport,22 user,15 critic,6.4,12084,null,null,UK,Portuguese,English,"Funchal, Madeira, Portugal"
Stop Making Sense,Stop Making Sense (1984),Jonathan Demme,null,Jonathan Demme,Alex Weir,Alex Weir,Jonathan Demme,Talking Heads,song,band,suit,song,band,194 news articles,Talking Heads,Arnold Stiefel Company,null,16 November 1984 (West Germany),65 user,60 critic,8.5,9078,null,See more awards »,English,See more,null,null
The Witness,The Witness (2015),James D. Solomon,null,William Genovese,Kitty Genovese,Kitty Genovese,William Genovese,Russell Greene,urban legend,witness,Crime,urban legend,witness,3 videos,Five More Minutes Productions,null,null,Crime,28 user,59 critic,7.1,2313,null,See more awards »,USA,English,null,"New York, USA"
The Greatest Movie Ever Sold,The Greatest Movie Ever Sold (2011),Morgan Spurlock,null,Jeremy Chilnick,Paul Brennan,Paul Brennan,Jeremy Chilnick,Morgan Spurlock,advertising,product placement,movie in title,advertising,product placement,1 video,Snoot Entertainment,Warrior Poets,null,24 August 2011 (Iceland),45 user,131 critic,6.6,13728,null,See more awards »,USA,English,null,null
Vegucated,Vegucated (2011),Marisa Miller Wolfson,null,Marisa Miller Wolfson,Cody Tarlow,Cody Tarlow,Marisa Miller Wolfson,null,vegan,f rated,vegetarian,vegan,f rated,1 video,null,null,null,10 September 2011 (USA),19 user,2 critic,7.2,2372,null,null,USA,English,null,company contact information
That Which I Love Destroys Me,That Which I Love Destroys Me (2015),Ric Roman Waugh,null,Patricia Driscoll,Tyler Grey,Tyler Grey,Patricia Driscoll,Jayson Floyd,null,null,null,Documentary,null,null,Cadre Filmworks,null,null,null,null,null,8.5,6,null,null,USA,Add content advisory for parents,null,company contact information
Eagles of Death Metal: Nos Amis (Our Friends),Eagles of Death Metal: Nos Amis (Our Friends) (2017),Colin Hanks,null,Jesse Hughes,Dave Catching,Dave Catching,Jesse Hughes,Josh Homme,terrorism,null,null,terrorism,Music,null,Live Nation Productions,Company Name,null,10 February 2017 (USA),2 user,5 critic,8.1,353,null,null,English,See more,null,Color
Virunga,Virunga (2014),Orlando von Einsiedel,null,Orlando von Einsiedel,Mélanie Gouby,Mélanie Gouby,Orlando von Einsiedel,null,null,null,null,Documentary,War,1 video,Grain Media,Violet Films,null,7 November 2014 (USA),19 user,43 critic,8.3,7672,null,"Another
      18 wins & 24 nominations.",UK,English,French,null
Homo Sapiens,Homo Sapiens (2016),Nikolaus Geyrhalter,null,Nikolaus Geyrhalter,ZDF / 3sat,ZDF / 3sat,Nikolaus Geyrhalter,null,two word title,abandoned shopping mall,abandoned ship,two word title,abandoned shopping mall,abandoned ship,Nikolaus Geyrhalter Filmproduktion,ORF Film/Fernseh-Abkommen,ZDF / 3sat,null,6 user,21 critic,7.1,420,null,See more awards »,Switzerland,None,null,"Hashima Island, Nagasaki Prefecture, Japan"
Dawson City: Frozen Time,Dawson City: Frozen Time (2016),Bill Morrison,null,Bill Morrison,Sam Kula,Sam Kula,Bill Morrison,null,dawson city,newsreel,silent film,dawson city,newsreel,1 video,Hypnotic Pictures,Picture Palace Pictures,null,null,2 user,71 critic,7.9,143,null,See more awards »,USA,See more,null,"Dawson, Yukon, Canada"
Food Matters,Food Matters (2008),James Colquhoun,Carlo Ledesma,Vicky Blewitt,Jerome Burne,Jerome Burne,Vicky Blewitt,Ian Brighthope,vegan,null,null,vegan,null,4 news articles,null,null,null,null,28 user,4 critic,7.7,4122,null,null,Australia,English,French,null
Who Took Johnny,Who Took Johnny (2014),David Beilinson,Michael Galinsky,David Beilinson,Troy Boner,Troy Boner,David Beilinson,Michael Galinsky,missing person,iowa,Drama,missing person,iowa,american midwest,RumuR Inc.,null,null,Drama,12 user,9 critic,7.3,1491,null,null,USA,English,null,null
Hired Gun,Hired Gun (2016),Fran Strine,null,Tim Calandrello,Phil Chen,Phil Chen,Tim Calandrello,Fran Strine,null,null,null,Documentary,Music,7 news articles,Drama Kills,Voltage Productions,null,1 August 2017 (USA),1 user,7 critic,8.3,47,null,See more awards »,USA,English,null,null
Embrace,Embrace (2016),Taryn Brumfitt,null,Taryn Brumfitt,Jade Beall,Jade Beall,Taryn Brumfitt,null,f rated,null,null,f rated,null,8 news articles,Body Image Movement,Multitude Media,Southern Light Alliance,null,7 user,17 critic,7.1,359,null,null,Australia,English,null,null
The Aristocrats,The Aristocrats (2005),Paul Provenza,null,George Carlin,Chris Rock,Chris Rock,George Carlin,Don Rickles,joke,comedian,aristocrat,joke,comedian,56 news articles,Mighty Cheese Productions,null,null,2 September 2005 (USA),238 user,123 critic,6.4,15285,null,See more awards »,USA,See more,null,null
Escapes,Escapes (2017),Michael Almereyda,null,Michael Almereyda,null,null,Michael Almereyda,null,null,null,null,Documentary,null,1 video,Survival Media,null,null,null,2 critic,null,7.2,8,null,null,USA,English,null,company contact information
Buena Vista Social Club,Buena Vista Social Club (1999),Wim Wenders,null,Wim Wenders,Rubén González,Rubén González,Wim Wenders,Nick Gold,cuba,song,concert,cuba,song,124 news articles,Road Movies Filmproduktion,Kintop Pictures,Instituto Cubano del Arte e Industrias Cinematográficos (ICAIC),4 June 1999 (USA),80 user,55 critic,7.6,14111,null,"Another
      20 wins & 10 nominations.",Germany,See more,Spanish,"Amsterdam, Noord-Holland, Netherlands"
Notes on Blindness,Notes on Blindness (2016),Peter Middleton,James Spinney,Peter Middleton,Miranda Beinart-Smith,Miranda Beinart-Smith,Peter Middleton,James Spinney,blindness,husband wife relationship,woman,blindness,husband wife relationship,1 video,Arte France,Creative England,Impact Partners,1 July 2016 (UK),6 user,28 critic,7.1,1060,null,"Another
      4 wins & 11 nominations.",UK,English,null,null
Michael Moore in TrumpLand,Michael Moore in TrumpLand (2016),Michael Moore,null,Michael Moore,Donald J. Trump,Donald J. Trump,Michael Moore,null,american politics,loser donald,reference to pope francis,american politics,loser donald,36 news articles,Dog Eat Dog Films,IMG Films,null,null,39 user,38 critic,5.9,2715,null,null,USA,See more,null,"Wilmington, Ohio, USA"
Virunga,Virunga (2014),Orlando von Einsiedel,null,Orlando von Einsiedel,Mélanie Gouby,Mélanie Gouby,Orlando von Einsiedel,null,null,null,null,Documentary,War,1 video,Grain Media,Violet Films,null,7 November 2014 (USA),19 user,43 critic,8.3,7672,null,"Another
      18 wins & 24 nominations.",UK,English,French,null
78/52,78/52 (2017),Alexandre O. Philippe,null,Alan Barnette,Peter Bogdanovich,Peter Bogdanovich,Alan Barnette,Justin Benson,number in title,null,null,number in title,null,1 news article,ARTE,Exhibit A Pictures,Milkhaus,null,3 user,32 critic,7.7,177,null,See more awards »,English,See more,null,null
Happy People: A Year in the Taiga,Happy People: A Year in the Taiga (2010),Werner Herzog,Dmitry Vasyukov,Werner Herzog,Gennady Soloviev,Gennady Soloviev,Werner Herzog,Dmitry Vasyukov,village,taiga,father figure,village,taiga,1 video,Studio Babelsberg,null,null,null,23 user,59 critic,7.8,5938,null,See more awards »,English,See more,null,null
Losing Sight of Shore,Losing Sight of Shore (2017),Sarah Moshman,null,Sarah Moshman,null,null,Sarah Moshman,Peter Saroufim,f rated,triple f rated,Sport,f rated,triple f rated,1 news article,null,null,null,Sport,2 user,1 critic,7.5,235,null,null,USA,English,null,company contact information
Hoop Dreams,Hoop Dreams (1994),Steve James,null,Steve James,Emma Gates,Emma Gates,Steve James,Frederick Marx,basketball,high school student,Sport,basketball,high school student,605 news articles,KTCA Minneapolis,Kartemquin Films,null,Sport,74 user,55 critic,8.3,20475,null,"Another
      21 wins & 7 nominations.",English,See more,null,null
Valley Uprising,Valley Uprising (2014),Peter Mortimer,Nick Rosen,Peter Mortimer,Yvon Chouinard,Yvon Chouinard,Peter Mortimer,Nick Rosen,rock climbing,national park,yosemite national park,rock climbing,national park,1 news article,Sender Films,Big UP Productions,null,null,6 user,12 critic,8.2,2062,null,See more awards »,USA,See more,null,company contact information
"Fat, Sick & Nearly Dead","Fat, Sick & Nearly Dead (2010)",Joe Cross,Kurt Engfehr,Joe Cross,Merv Cross,Merv Cross,Joe Cross,Kurt Engfehr,health,juice,food,health,juice,2 videos,Us & Us Media,Faster Production,null,null,28 user,13 critic,7.6,7250,null,null,Australia,English,null,"Atlanta, Georgia, USA"
The B-Side: Elsa Dorfman's Portrait Photography,The B-Side: Elsa Dorfman's Portrait Photography (2016),Errol Morris,null,Elsa Dorfman,null,null,Elsa Dorfman,null,null,null,null,Documentary,null,1 video,Fourth Floor Productions,Moxie Pictures,null,null,1 user,25 critic,6.2,102,null,null,English,See more,null,null
Score: A Film Music Documentary,Score: A Film Music Documentary (2016),Matt Schrader,null,Matt Schrader,John Williams,John Williams,Matt Schrader,null,film score,reference to facebook,reference to the beatles,film score,reference to facebook,1 video,Epicleff Media,null,null,9 September 2017 (Japan),5 user,19 critic,6.2,441,null,See more awards »,USA,English,null,null
Kevin Hart: Let Me Explain,Kevin Hart: Let Me Explain (2013),Leslie Small,Tim Story,Kevin Hart,Will 'Spank' Horton,Will 'Spank' Horton,Kevin Hart,null,toronto,montreal,lying,toronto,montreal,3 videos,Codeblack Entertainment,Hartbeat Productions,Royalty Marketing,3 July 2013 (USA),31 user,25 critic,6.8,6954,null,See more awards »,English,See more,null,null
Homo Sapiens,Homo Sapiens (2016),Nikolaus Geyrhalter,null,Nikolaus Geyrhalter,ZDF / 3sat,ZDF / 3sat,Nikolaus Geyrhalter,null,two word title,abandoned shopping mall,abandoned ship,two word title,abandoned shopping mall,abandoned ship,Nikolaus Geyrhalter Filmproduktion,ORF Film/Fernseh-Abkommen,ZDF / 3sat,null,6 user,21 critic,7.1,420,null,See more awards »,Switzerland,None,null,"Hashima Island, Nagasaki Prefecture, Japan"
"Fat, Sick & Nearly Dead","Fat, Sick & Nearly Dead (2010)",Joe Cross,Kurt Engfehr,Joe Cross,Merv Cross,Merv Cross,Joe Cross,Kurt Engfehr,health,juice,food,health,juice,2 videos,Us & Us Media,Faster Production,null,null,28 user,13 critic,7.6,7250,null,null,Australia,English,null,"Atlanta, Georgia, USA"
Awaken,Awaken (2018),Tom Lowe,null,Daria Hubanova,Sascha Kalis,Sascha Kalis,Daria Hubanova,Jasmijn Reijntjes,null,null,null,Documentary,Music,1 video,Dubai Film,Dreamcore,null,null,null,null,null,null,null,null,United Arab Emirates,Add content advisory for parents,null,Color
Michael Moore in TrumpLand,Michael Moore in TrumpLand (2016),Michael Moore,null,Michael Moore,Donald J. Trump,Donald J. Trump,Michael Moore,null,american politics,loser donald,reference to pope francis,american politics,loser donald,36 news articles,Dog Eat Dog Films,IMG Films,null,null,39 user,38 critic,5.9,2715,null,null,USA,See more,null,"Wilmington, Ohio, USA"
Dawson City: Frozen Time,Dawson City: Frozen Time (2016),Bill Morrison,null,Bill Morrison,Sam Kula,Sam Kula,Bill Morrison,null,dawson city,newsreel,silent film,dawson city,newsreel,1 video,Hypnotic Pictures,Picture Palace Pictures,null,null,2 user,71 critic,7.9,143,null,See more awards »,USA,See more,null,"Dawson, Yukon, Canada"
Obit.,Obit. (2016),Vanessa Gould,null,Bruce Weber,Margalit Fox,Margalit Fox,Bruce Weber,William McDonald,null,null,null,Documentary,null,24 news articles,Green Fuse Films,Imperfect Films,Mystic Artists Films Productions,null,4 user,23 critic,7.3,211,null,See more awards »,USA,English,null,null
The X-Files: Re-Opened,The X-Files: Re-Opened (2015),Chris Carter,Glen Morgan,null,Gillian Anderson,Gillian Anderson,null,null,tv special,null,null,tv special,Short,1 news article,Fox Special Ops,null,null,TV Special 28 December 2015,23 user,null,8,2001,null,null,USA,English,null,company contact information
Check It,Check It (2016),Dana Flor,Toby Oppenheimer,null,null,null,null,null,black american,lgbt,gay,black american,lgbt,gay,Radical Media,null,null,null,13 critic,null,7,71,null,See more awards »,USA,English,null,company contact information
Bill Burr: Walk Your Way Out,Bill Burr: Walk Your Way Out (2017),Jay Karas,null,Bill Burr,null,null,Bill Burr,null,stand up special,stand up comedy,tv special,stand up special,stand up comedy,tv special,Comedy Dynamics,null,null,TV Special 2017,16 user,null,7.1,2153,null,null,USA,English,null,null
Korengal,Korengal (2014),Sebastian Junger,null,LaMonta Caldwell,Stephen Gillespie,Stephen Gillespie,LaMonta Caldwell,Miguel Cortez,valley,reference to george clooney,News,valley,reference to george clooney,18 news articles,null,null,null,News,8 user,21 critic,6.8,2538,null,See more awards »,USA,English,null,null
Dancer,Dancer (2016),Steven Cantor,null,Jade Hale-Christofi,Magnolia Mae Films,Magnolia Mae Films,Jade Hale-Christofi,Sergei Polunin,dance,ballet,art,dance,ballet,40 news articles,BBC Films,Baby Cow Films,Magnolia Mae Films,10 March 2017 (UK),6 user,37 critic,7.9,1170,null,See more awards »,UK,English,Russian,null
Adolf Hitler: The Greatest Story Never Told,Adolf Hitler: The Greatest Story Never Told (2013),Dennis Wise,null,Dennis Wise,Adolf Hitler,Adolf Hitler,Dennis Wise,null,world war two,hitler,War,world war two,hitler,historical revisionism,TruthWillOut Films,null,null,War,170 user,null,7.9,3131,null,null,USA,German,English,company contact information
DMT: The Spirit Molecule,DMT: The Spirit Molecule (2010),Mitch Schultz,null,Mitch Schultz,Joel Bakst,Joel Bakst,Mitch Schultz,Rick Strassman,dmt,psychedelic,brain,dmt,psychedelic,brain,Spectral Alchemy,Synthetic Pictures,null,null,13 user,8 critic,7.3,3495,null,null,USA,English,null,"Albuquerque, New Mexico, USA"
The King of Kong: A Fistful of Quarters,The King of Kong: A Fistful of Quarters (2007),Seth Gordon,null,Seth Gordon,Mark Alpiger,Mark Alpiger,Seth Gordon,null,world record,donkey kong,Sport,world record,donkey kong,362 news articles,LargeLab,null,null,Sport,104 user,155 critic,8.2,32285,null,See more awards »,English,See more,null,null
The White Helmets,The White Helmets (2016),Orlando von Einsiedel,null,Khalid Farah,Abu Omar,Abu Omar,Khalid Farah,Mohammed Farah,al qaeda,rescue,Drama,al qaeda,rescue,1 video,Grain Media,Violet Films,null,Drama,21 user,24 critic,7.6,4513,null,"Another
      2 wins & 3 nominations.",UK,Arabic,English,Syria
Adolf Hitler: The Greatest Story Never Told,Adolf Hitler: The Greatest Story Never Told (2013),Dennis Wise,null,Dennis Wise,Adolf Hitler,Adolf Hitler,Dennis Wise,null,world war two,hitler,War,world war two,hitler,historical revisionism,TruthWillOut Films,null,null,War,170 user,null,7.9,3131,null,null,USA,German,English,company contact information
The Barkley Marathons: The Race That Eats Its Young,The Barkley Marathons: The Race That Eats Its Young (2014),Annika Iltis,Timothy James Kane,null,null,null,null,null,null,null,History,Documentary,Adventure,1 video,null,null,null,History,4 user,15 critic,7.8,2235,null,See more awards »,USA,See all certifications,null,company contact information
To Stay Alive: A Method,To Stay Alive: A Method (2016),Arno Hagers,Erik Lieshout,Michel Houellebecq,Robert Combas,Robert Combas,Michel Houellebecq,Erik Lieshout,null,null,null,Documentary,null,1 news article,AT-production,seriousFilm,null,null,3 critic,null,7,109,null,See more awards »,Netherlands,Add content advisory for parents,French,"Paris, France"
Game of Thrones: A Day in the Life,Game of Thrones: A Day in the Life (2015),Duncan Muggoch,Christopher Newman,null,Peter Welter Soler,Peter Welter Soler,null,null,null,null,null,Documentary,null,null,Home Box Office (HBO),null,null,null,2 user,null,8,341,null,null,English,See more,null,company contact information
Becoming Cary Grant,Becoming Cary Grant (2017),Mark Kidel,Mark Kidel,Mark Kidel,Barbara Jaynes,Barbara Jaynes,Mark Kidel,Nick Ware,null,null,null,Documentary,Biography,11 news articles,Yuzu Productions,null,null,9 June 2017 (USA),7 user,5 critic,6.8,202,null,See more awards »,France,Add content advisory for parents,null,null
Becoming Cary Grant,Becoming Cary Grant (2017),Mark Kidel,Mark Kidel,Mark Kidel,Barbara Jaynes,Barbara Jaynes,Mark Kidel,Nick Ware,null,null,null,Documentary,Biography,11 news articles,Yuzu Productions,null,null,9 June 2017 (USA),7 user,5 critic,6.8,202,null,See more awards »,France,Add content advisory for parents,null,null
The Green Fairy,The Green Fairy (2016),Dan Frank,null,Daniel Celestina,Roddy Piper,Roddy Piper,Daniel Celestina,Caroline Posada,absinthe,reenactment,History,absinthe,reenactment,1 video,Upward Rising Development,null,null,History,3 user,null,6.2,23,null,null,USA,English,null,null
This Film Is Not Yet Rated,This Film Is Not Yet Rated (2006),Kirby Dick,null,Kirby Dick,Darren Aronofsky,Darren Aronofsky,Kirby Dick,Eddie Schmidt,mpaa,filmmaker,rating,mpaa,filmmaker,144 news articles,Independent Film Channel (IFC),Netflix,British Broadcasting Corporation (BBC),null,109 user,132 critic,7.5,25981,null,See more awards »,English,See more,null,null
Deliver Us from Evil,Deliver Us from Evil (2006),Amy Berg,null,Amy Berg,Adam,Adam,Amy Berg,null,church,catholic,children,church,catholic,325 news articles,Disarming Films,null,null,22 February 2007 (Netherlands),58 user,47 critic,8,8772,null,"Another
      5 wins & 14 nominations.",English,See more,null,null
That Sugar Film,That Sugar Film (2014),Damon Gameau,null,Damon Gameau,Milla Bakaitis,Milla Bakaitis,Damon Gameau,null,sugar,food,food industry,sugar,food,2 videos,Madman Production Company,null,null,null,19 user,39 critic,7.4,5979,null,See more awards »,Australia,See more,null,null
Dogtown and Z-Boys,Dogtown and Z-Boys (2001),Stacy Peralta,null,Stacy Peralta,Tony Alva,Tony Alva,Stacy Peralta,Craig Stecyk,skateboarding,surfer,california,skateboarding,surfer,58 news articles,Agi Orsi Productions,Vans,null,10 May 2002 (USA),90 user,84 critic,7.7,10813,null,See more awards »,USA,See more,null,"Mike's Pool, Orange County, California, USA"
Cave of Forgotten Dreams,Cave of Forgotten Dreams (2010),Werner Herzog,null,Werner Herzog,Julien Monney,Julien Monney,Werner Herzog,null,cave,france,southern france,cave,france,5 videos,Creative Differences,History Films,Ministère de la Culture et de la Communication,31 August 2011 (France),93 user,241 critic,7.4,12616,null,See more awards »,Canada,English,German,"Pont d'Arc, Ardèche, France"
Oklahoma City,Oklahoma City (2017),Barak Goodman,null,Barak Goodman,Jim Botting,Jim Botting,Barak Goodman,null,federal building,ruby ridge,waco,federal building,ruby ridge,32 news articles,American Experience Films,Ark Media,Public Broadcasting Service (PBS),21 January 2017 (USA),5 user,7 critic,7.5,1000,null,See more awards »,USA,English,null,company contact information
The White Helmets,The White Helmets (2016),Orlando von Einsiedel,null,Khalid Farah,Abu Omar,Abu Omar,Khalid Farah,Mohammed Farah,al qaeda,rescue,Drama,al qaeda,rescue,1 video,Grain Media,Violet Films,null,Drama,21 user,24 critic,7.6,4513,null,"Another
      2 wins & 3 nominations.",UK,Arabic,English,Syria
Bigger Stronger Faster*,Bigger Stronger Faster* (2008),Chris Bell,null,Chris Bell,Mark Bell,Mark Bell,Chris Bell,Alexander Buono,performance enhancing,bodybuilding,professional wrestling,performance enhancing,bodybuilding,1 video,BSF Film,null,null,19 January 2008 (USA),60 user,78 critic,7.6,12218,null,See more awards »,USA,See more,null,"Columbus, Ohio, USA"
George Harrison: Living in the Material World,George Harrison: Living in the Material World (2011),Martin Scorsese,null,George Harrison,John Lennon,John Lennon,George Harrison,Paul McCartney,spirituality,friend,Music,spirituality,friend,265 news articles,Grove Street Pictures,Spitfire Pictures,Sikelia Productions,Music,34 user,46 critic,8.1,7375,null,"Another
      4 wins & 11 nominations.",USA,English,null,null
Deliver Us from Evil,Deliver Us from Evil (2006),Amy Berg,null,Amy Berg,Adam,Adam,Amy Berg,null,church,catholic,children,church,catholic,325 news articles,Disarming Films,null,null,22 February 2007 (Netherlands),58 user,47 critic,8,8772,null,"Another
      5 wins & 14 nominations.",English,See more,null,null
The Mars Generation,The Mars Generation (2017),Michael Barnett,null,Michael Barnett,Niko Blanks,Niko Blanks,Michael Barnett,Michael Mahaffie,null,null,null,Documentary,null,3 news articles,SuperFilms!,Time,null,null,2 user,2 critic,6.6,398,null,null,See more,See all certifications,null,null
Check It,Check It (2016),Dana Flor,Toby Oppenheimer,null,null,null,null,null,black american,lgbt,gay,black american,lgbt,gay,Radical Media,null,null,null,13 critic,null,7,71,null,See more awards »,USA,English,null,company contact information
The King of Kong: A Fistful of Quarters,The King of Kong: A Fistful of Quarters (2007),Seth Gordon,null,Seth Gordon,Mark Alpiger,Mark Alpiger,Seth Gordon,null,world record,donkey kong,Sport,world record,donkey kong,362 news articles,LargeLab,null,null,Sport,104 user,155 critic,8.2,32285,null,See more awards »,English,See more,null,null
Biggie and Tupac,Biggie and Tupac (2002),Nick Broomfield,null,The Notorious B.I.G.,Nick Broomfield,Nick Broomfield,The Notorious B.I.G.,Tupac Shakur,rap,hip hop,Crime,rap,hip hop,70 news articles,FilmFour,Lafayette Films,null,Crime,18 user,25 critic,6.9,3745,null,See more awards »,English,See more,null,null
Korengal,Korengal (2014),Sebastian Junger,null,LaMonta Caldwell,Stephen Gillespie,Stephen Gillespie,LaMonta Caldwell,Miguel Cortez,valley,reference to george clooney,News,valley,reference to george clooney,18 news articles,null,null,null,News,8 user,21 critic,6.8,2538,null,See more awards »,USA,English,null,null
May It Last: A Portrait of the Avett Brothers,May It Last: A Portrait of the Avett Brothers (2017),Judd Apatow,Michael Bonfiglio,Scott Avett,Jennifer Carpenter,Jennifer Carpenter,Scott Avett,Seth Avett,null,null,null,Documentary,Music,1 video,Apatow Productions,Radical Media,null,12 September 2017 (USA),3 user,null,8.9,27,null,See more awards »,USA,Add content advisory for parents,null,null
Obit.,Obit. (2016),Vanessa Gould,null,Bruce Weber,Margalit Fox,Margalit Fox,Bruce Weber,William McDonald,null,null,null,Documentary,null,24 news articles,Green Fuse Films,Imperfect Films,Mystic Artists Films Productions,null,4 user,23 critic,7.3,211,null,See more awards »,USA,English,null,null
May It Last: A Portrait of the Avett Brothers,May It Last: A Portrait of the Avett Brothers (2017),Judd Apatow,Michael Bonfiglio,Scott Avett,Jennifer Carpenter,Jennifer Carpenter,Scott Avett,Seth Avett,null,null,null,Documentary,Music,1 video,Apatow Productions,Radical Media,null,12 September 2017 (USA),3 user,null,8.9,27,null,See more awards »,USA,Add content advisory for parents,null,null
Deep in the Heart of Texas: Dave Chappelle Live at Austin City Limits,Deep in the Heart of Texas: Dave Chappelle Live at Austin City Limits (2017),Stan Lathan,null,Dave Chappelle,null,null,Dave Chappelle,null,stand up special,stand up comedy,tv special,stand up special,stand up comedy,1 news article,Pilot Boy Productions,null,null,TV Special 21 March 2017,22 user,2 critic,7.9,3952,null,null,English,See more,null,null
Let It Be,Let It Be (1970),Michael Lindsay-Hogg,null,John Lennon,George Harrison,George Harrison,John Lennon,Paul McCartney,rooftop,guitar,guitar playing,rooftop,guitar,83 news articles,Apple Corps,ABKCO Films,null,20 May 1970 (UK),76 user,6 critic,7.8,4378,null,"Another
      1 win.",English,See more,null,null
Playboy Real Couples II: Best Sex Ever,Playboy Real Couples II: Best Sex Ever (1996),James Wvinner,null,James Wvinner,Angela Cornell,Angela Cornell,James Wvinner,null,softcore,female rear nudity,sex education,softcore,female rear nudity,sex education,Playboy Entertainment Group,null,null,null,1 user,null,5.8,124,null,null,English,Playboy Entertainment Group,null,Color
Pervert Park,Pervert Park (2014),Frida Barkfors,Lasse Barkfors,Frida Barkfors,James Broderick,James Broderick,Frida Barkfors,Lasse Barkfors,sex offender,restorative justice,justice,sex offender,restorative justice,42 news articles,De Andra,Final Cut for Real,null,20 May 2016 (USA),6 user,38 critic,7.1,911,null,See more awards »,English,See more,null,company contact information
George Harrison: Living in the Material World,George Harrison: Living in the Material World (2011),Martin Scorsese,null,George Harrison,John Lennon,John Lennon,George Harrison,Paul McCartney,spirituality,friend,Music,spirituality,friend,265 news articles,Grove Street Pictures,Spitfire Pictures,Sikelia Productions,Music,34 user,46 critic,8.1,7375,null,"Another
      4 wins & 11 nominations.",USA,English,null,null
March of the Penguins,March of the Penguins (2005),Luc Jacquet,null,Luc Jacquet,Romane Bohringer,Romane Bohringer,Luc Jacquet,Luc Jacquet,journey,ocean,chick,journey,ocean,292 news articles,National Geographic Films,Bonne Pioche,Wild Bunch,22 July 2005 (USA),335 user,166 critic,7.6,49601,null,"Another
      21 wins & 15 nominations.",France,French,English,"Terre Adélie, Antarctica"
Justin Bieber's Believe,Justin Bieber's Believe (2013),Jon M. Chu,null,Sarah Landman,Ryan Good,Ryan Good,Sarah Landman,null,null,null,null,Documentary,Music,1 video,Dolphin Films,Bieber Time Films,Scooter Braun Films,25 December 2013 (USA),48 user,19 critic,1.7,17282,null,See more awards »,USA,English,null,null
Bo Burnham: Make Happy,Bo Burnham: Make Happy (2016),Bo Burnham,Christopher Storer,Bo Burnham,null,null,Bo Burnham,Bo Burnham,tv special,stand up comedy,Music,tv special,stand up comedy,3 news articles,null,null,null,Music,13 user,1 critic,8.4,3688,null,null,USA,English,null,"The Capitol Theatre, Port Chester, New York, USA"
"What Happened, Miss Simone?","What Happened, Miss Simone? (2015)",Liz Garbus,null,James Baldwin,Walter Cronkite,Walter Cronkite,James Baldwin,Stokely Carmichael,civil rights,singer,Music,civil rights,singer,1 video,Moxie Firecracker Films,Netflix,Radical Media,Music,17 user,58 critic,7.6,8158,null,"Another
      6 wins & 17 nominations.",English,See more,null,company contact information
Man with a Movie Camera,Man with a Movie Camera (1929),Dziga Vertov,null,Dziga Vertov,null,null,Dziga Vertov,null,eye,russia,exercise bicycle,eye,russia,61 news articles,VUFKU,null,null,12 May 1929 (USA),105 user,77 critic,8.4,17022,null,See more awards »,See more,See more,null,company contact information
Pervert Park,Pervert Park (2014),Frida Barkfors,Lasse Barkfors,Frida Barkfors,James Broderick,James Broderick,Frida Barkfors,Lasse Barkfors,sex offender,restorative justice,justice,sex offender,restorative justice,42 news articles,De Andra,Final Cut for Real,null,20 May 2016 (USA),6 user,38 critic,7.1,911,null,See more awards »,English,See more,null,company contact information
