movie_link,movie_link-href,movie_title,Duration,metacritic_movie_ranking_Awards,MetaScore_link,MetaScore_link-href,Number_of_critic_review,MetaScore,critic_review_positive,metacritic_review_mixed,metacritc_review_Negetive,User_review_link,User_review_link-href,user_ratings,metacrtic_user_Score,metaCrtic_user_review_positive,metacritic_user_review_mixed,metacritic_user_review_Negetive
The Reagan Show,http://www.metacritic.com/movie/the-reagan-show,The Reagan Show,74 min,null,METASCORE,http://www.metacritic.com/movie/the-reagan-show/critic-reviews,based on 12 Critics,66,9,3,0,User Reviews,http://www.metacritic.com/movie/the-reagan-show/user-reviews,null,tbd,null,null,null
Nobody Speak: Trials of the Free Press,http://www.metacritic.com/movie/nobody-speak-trials-of-the-free-press,Nobody Speak: Trials of the Free Press,95 min,null,METASCORE,http://www.metacritic.com/movie/nobody-speak-trials-of-the-free-press/critic-reviews,based on 13 Critics,69,12,1,0,User Reviews,http://www.metacritic.com/movie/nobody-speak-trials-of-the-free-press/user-reviews,based on 5 Ratings,1.4,1,0,4
"Water and Sugar: Carlo Di Palma, the Colours of Life",http://www.metacritic.com/movie/water-and-sugar-carlo-di-palma-the-colours-of-life,"Water and Sugar: Carlo Di Palma, the Colours of Life",90 min,null,METASCORE,http://www.metacritic.com/movie/water-and-sugar-carlo-di-palma-the-colours-of-life/critic-reviews,based on 4 Critics,65,3,1,0,User Reviews,http://www.metacritic.com/movie/water-and-sugar-carlo-di-palma-the-colours-of-life/user-reviews,null,tbd,null,null,null
Midnight Return: The Story of Billy Hayes and Turkey,http://www.metacritic.com/movie/midnight-return-the-story-of-billy-hayes-and-turkey,Midnight Return: The Story of Billy Hayes and Turkey,99 min,null,METASCORE,http://www.metacritic.com/movie/midnight-return-the-story-of-billy-hayes-and-turkey/critic-reviews,based on 4 Critics,68,4,0,0,User Reviews,http://www.metacritic.com/movie/midnight-return-the-story-of-billy-hayes-and-turkey/user-reviews,null,tbd,null,null,null
The Challenge,http://www.metacritic.com/movie/the-challenge,The Challenge,69 min,null,METASCORE,http://www.metacritic.com/movie/the-challenge/critic-reviews,based on 4 Critics,66,3,1,0,User Reviews,http://www.metacritic.com/movie/the-challenge/user-reviews,null,tbd,null,null,null
City of Ghosts,http://www.metacritic.com/movie/city-of-ghosts-2017,City of Ghosts,92 min,#14 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/city-of-ghosts-2017/critic-reviews,based on 31 Critics,86,31,0,0,User Reviews,http://www.metacritic.com/movie/city-of-ghosts-2017/user-reviews,null,tbd,0,0,1
Chasing Coral,http://www.metacritic.com/movie/chasing-coral,Chasing Coral,93 min,#12 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/chasing-coral/critic-reviews,based on 13 Critics,86,13,0,0,User Reviews,http://www.metacritic.com/movie/chasing-coral/user-reviews,based on 7 Ratings,5.9,4,null,2
Santoalla,http://www.metacritic.com/movie/santoalla,Santoalla,83 min,null,METASCORE,http://www.metacritic.com/movie/santoalla/critic-reviews,based on 8 Critics,68,7,1,0,User Reviews,http://www.metacritic.com/movie/santoalla/user-reviews,null,tbd,null,null,null
Look & See: A Portrait of Wendell Berry,http://www.metacritic.com/movie/look-see-a-portrait-of-wendell-berry,Look & See: A Portrait of Wendell Berry,82 min,null,METASCORE,http://www.metacritic.com/movie/look-see-a-portrait-of-wendell-berry/critic-reviews,based on 5 Critics,58,2,3,0,User Reviews,http://www.metacritic.com/movie/look-see-a-portrait-of-wendell-berry/user-reviews,null,tbd,null,null,null
The Skyjacker's Tale,http://www.metacritic.com/movie/the-skyjackers-tale,The Skyjacker's Tale,75 min,null,METASCORE,http://www.metacritic.com/movie/the-skyjackers-tale/critic-reviews,based on 9 Critics,54,3,6,0,User Reviews,http://www.metacritic.com/movie/the-skyjackers-tale/user-reviews,null,tbd,null,null,null
Letters from Baghdad,http://www.metacritic.com/movie/letters-from-baghdad,Letters from Baghdad,95 min,null,METASCORE,http://www.metacritic.com/movie/letters-from-baghdad/critic-reviews,based on 11 Critics,69,7,4,0,User Reviews,http://www.metacritic.com/movie/letters-from-baghdad/user-reviews,null,tbd,1,0,0
My Journey Through French Cinema,http://www.metacritic.com/movie/my-journey-through-french-cinema,My Journey Through French Cinema,201 min,#9 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/my-journey-through-french-cinema/critic-reviews,based on 14 Critics,87,14,0,0,User Reviews,http://www.metacritic.com/movie/my-journey-through-french-cinema/user-reviews,null,tbd,0,0,2
I Am Heath Ledger,http://www.metacritic.com/movie/i-am-heath-ledger,I Am Heath Ledger,90 min,null,METASCORE,http://www.metacritic.com/movie/i-am-heath-ledger/critic-reviews,based on 6 Critics,68,4,2,0,User Reviews,http://www.metacritic.com/movie/i-am-heath-ledger/user-reviews,based on 4 Ratings,9,4,0,0
Get Me Roger Stone,http://www.metacritic.com/movie/get-me-roger-stone,Get Me Roger Stone,92 min,#92 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/get-me-roger-stone/critic-reviews,based on 8 Critics,75,6,2,0,User Reviews,http://www.metacritic.com/movie/get-me-roger-stone/user-reviews,based on 7 Ratings,8.4,6,0,0
Risk,http://www.metacritic.com/movie/risk,Risk,92 min,null,METASCORE,http://www.metacritic.com/movie/risk/critic-reviews,based on 26 Critics,73,22,3,null,User Reviews,http://www.metacritic.com/movie/risk/user-reviews,based on 4 Ratings,7.3,3,0,0
The Last Shaman,http://www.metacritic.com/movie/the-last-shaman,The Last Shaman,77 min,null,METASCORE,http://www.metacritic.com/movie/the-last-shaman/critic-reviews,based on 7 Critics,49,2,3,null,User Reviews,http://www.metacritic.com/movie/the-last-shaman/user-reviews,null,tbd,null,null,null
Restless Creature: Wendy Whelan,http://www.metacritic.com/movie/restless-creature-wendy-whelan,Restless Creature: Wendy Whelan,90 min,#8 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/restless-creature-wendy-whelan/critic-reviews,based on 9 Critics,87,9,0,0,User Reviews,http://www.metacritic.com/movie/restless-creature-wendy-whelan/user-reviews,null,tbd,1,0,2
Hell on Earth: The Fall of Syria and the Rise of ISIS,http://www.metacritic.com/movie/hell-on-earth-the-fall-of-syria-and-the-rise-of-isis,Hell on Earth: The Fall of Syria and the Rise of ISIS,99 min,null,METASCORE,http://www.metacritic.com/movie/hell-on-earth-the-fall-of-syria-and-the-rise-of-isis/critic-reviews,based on 5 Critics,84,5,0,0,User Reviews,http://www.metacritic.com/movie/hell-on-earth-the-fall-of-syria-and-the-rise-of-isis/user-reviews,null,tbd,0,0,1
Julian Schnabel: A Private Portrait,http://www.metacritic.com/movie/julian-schnabel-a-private-portrait,Julian Schnabel: A Private Portrait,84 min,null,METASCORE,http://www.metacritic.com/movie/julian-schnabel-a-private-portrait/critic-reviews,based on 7 Critics,42,2,4,null,User Reviews,http://www.metacritic.com/movie/julian-schnabel-a-private-portrait/user-reviews,null,tbd,null,null,null
Raising Bertie,http://www.metacritic.com/movie/raising-bertie,Raising Bertie,102 min,null,METASCORE,http://www.metacritic.com/movie/raising-bertie/critic-reviews,based on 8 Critics,74,7,1,0,User Reviews,http://www.metacritic.com/movie/raising-bertie/user-reviews,null,tbd,null,null,null
Turn It Around: The Story of East Bay Punk,http://www.metacritic.com/movie/turn-it-around-the-story-of-east-bay-punk,Turn It Around: The Story of East Bay Punk,155 min,null,METASCORE,http://www.metacritic.com/movie/turn-it-around-the-story-of-east-bay-punk/critic-reviews,based on 4 Critics,65,3,1,0,User Reviews,http://www.metacritic.com/movie/turn-it-around-the-story-of-east-bay-punk/user-reviews,null,tbd,null,null,null
Score: A Film Music Documentary,http://www.metacritic.com/movie/score-a-film-music-documentary,Score: A Film Music Documentary,93 min,null,METASCORE,http://www.metacritic.com/movie/score-a-film-music-documentary/critic-reviews,based on 9 Critics,67,7,2,0,User Reviews,http://www.metacritic.com/movie/score-a-film-music-documentary/user-reviews,null,tbd,1,0,0
Legion of Brothers,http://www.metacritic.com/movie/legion-of-brothers,Legion of Brothers,79 min,null,METASCORE,http://www.metacritic.com/movie/legion-of-brothers/critic-reviews,based on 5 Critics,77,5,0,0,User Reviews,http://www.metacritic.com/movie/legion-of-brothers/user-reviews,null,tbd,null,null,null
Night School,http://www.metacritic.com/movie/night-school,Night School,85 min,#71 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/night-school/critic-reviews,based on 10 Critics,76,10,0,0,User Reviews,http://www.metacritic.com/movie/night-school/user-reviews,null,tbd,null,null,null
Abacus: Small Enough to Jail,http://www.metacritic.com/movie/abacus-small-enough-to-jail,Abacus: Small Enough to Jail,88 min,null,METASCORE,http://www.metacritic.com/movie/abacus-small-enough-to-jail/critic-reviews,based on 16 Critics,73,14,2,0,User Reviews,http://www.metacritic.com/movie/abacus-small-enough-to-jail/user-reviews,null,tbd,null,null,null
Angkor Awakens: A Portrait of Cambodia,http://www.metacritic.com/movie/angkor-awakens-a-portrait-of-cambodia,Angkor Awakens: A Portrait of Cambodia,90 min,null,METASCORE,http://www.metacritic.com/movie/angkor-awakens-a-portrait-of-cambodia/critic-reviews,based on 6 Critics,81,6,0,0,User Reviews,http://www.metacritic.com/movie/angkor-awakens-a-portrait-of-cambodia/user-reviews,null,tbd,null,null,null
Casting JonBenét,http://www.metacritic.com/movie/casting-jonbenet,Casting JonBenét,80 min,#100 Best Movie of 2017,METASCORE,http://www.metacritic.com/movie/casting-jonbenet/critic-reviews,based on 14 Critics,74,11,3,0,User Reviews,http://www.metacritic.com/movie/casting-jonbenet/user-reviews,based on 8 Ratings,6.8,4,0,0
Elián,http://www.metacritic.com/movie/elian,Elián,108 min,null,METASCORE,http://www.metacritic.com/movie/elian/critic-reviews,based on 6 Critics,66,5,1,0,User Reviews,http://www.metacritic.com/movie/elian/user-reviews,null,tbd,null,null,null
